Sheet,Action,Details
employees,Manual review required,"employee_id=594 name='Chandra V. Singh' designation='GM, Operations' current_suborg_id=None -- Word lists this exact name+designation at 2 different stations (Jhabua Power Limited, Jindal Power Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=113 name='Cinderella Felix' designation='A.E' current_suborg_id=None -- Word shows this role at station 'Madhya Pradesh State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=195 name='D Mandal' designation='GM(OS)' current_suborg_id=None -- Word shows this role at station 'NTPC Mumbai Head Quarter (WR-1)', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=96 name='D. N. Shah' designation='SE (Operation)' current_suborg_id=None -- Word lists this exact name+designation at 2 different stations (Gujarat State Load Despatch Centre, Synopsis of Important Telephone Numbers); can't determine which one this row means"
employees,Manual review required,"employee_id=78 name='D.Z.Patil' designation='EE(OP) - 2' current_suborg_id=35 -- Word shows this role at station 'Maharashtra State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=512 name='Debadutta Sahoo' designation='Sr. Manager' current_suborg_id=None -- Word shows this role at station 'Qualified Coordinating Agency', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=10 name='Deepak N. Gawali' designation='Director(Opn)' current_suborg_id=None -- Word shows this role at station 'Western Regional Power Committee', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=12 name='Deepak Sharma' designation='Deputy Director(Protection & Studies)' current_suborg_id=None -- Word shows this role at station 'Western Regional Power Committee', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=168 name='Denver Mendes' designation='JE, Cuncolim S?S' current_suborg_id=None -- Word shows this role at station 'Goa Electricity Department', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=327 name='Dhananjay Joshi' designation='VP-Asset management & QHSE' current_suborg_id=77 -- Word lists this exact name+designation at 2 different stations (Continuum Power Trading Private Limited, Srijan Energy Systems Private Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=382 name='Dhananjay Joshi' designation='VP-Asset management & QHSE' current_suborg_id=None -- Word lists this exact name+designation at 2 different stations (Continuum Power Trading Private Limited, Srijan Energy Systems Private Limited); can't determine which one this row means"
employees,Corrected suborg_id (Word-verified),"employee_id=48 name='Dhurandhar Fulendra' designation='Head Khopoli' old_suborg_id=23 new_suborg_id=22 station='Mini Hydro' reason='Word directory uniquely and exactly places this person at this station, which differs from the suborg_id previously stored'"
employees,Manual review required,"employee_id=590 name='Dileep Singh' designation='Senior Manager, BD & power sales' current_suborg_id=None -- Word lists this exact name+designation at 2 different stations (Jhabua Power Limited, Jindal Power Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=597 name='Dileep Singh' designation='Senior Manager, BD & power sales' current_suborg_id=None -- Word lists this exact name+designation at 2 different stations (Jhabua Power Limited, Jindal Power Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=186 name='Dilesh Solanki' designation='Assistant Engineer (TR & SLDC)' current_suborg_id=None -- Word shows this role at station 'Daman and Diu', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=89 name='Dinesh Agrawal' designation='CE PP' current_suborg_id=37 -- Word shows this role at station 'Maharashtra State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=70 name='Dinesh Waghmare' designation='Principal Secretary (Energy) GoM' current_suborg_id=37 -- Word shows this role at station 'Maharashtra State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=114 name='Firoj Kumar Meshram' designation='CGM (PM)' current_suborg_id=None -- Word shows this role at station 'Madhya Pradesh State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=106 name='G J Mistry' designation='DE (MIS)' current_suborg_id=None -- Word shows this role at station 'Gujarat State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=513 name='Ganesh Jagtap' designation='Sr. Manager' current_suborg_id=None -- Word shows this role at station 'Qualified Coordinating Agency', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=161 name='Gaurav Naik' designation='JE, Tivim S/S' current_suborg_id=None -- Word shows this role at station 'Goa Electricity Department', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=119 name='Girish Kumar Dixit' designation='Superintending Engineer (GCC)' current_suborg_id=None -- Word shows this role at station 'Madhya Pradesh State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=75 name='Girish Pantoji' designation='SE (OP)' current_suborg_id=35 -- Word lists this exact name+designation at 2 different stations (Maharashtra State Load Despatch Centre, Synopsis of Important Telephone Numbers); can't determine which one this row means"
employees,Manual review required,"employee_id=444 name='Gusai Dipakgar Govindgar' designation='2nd In-charge' current_suborg_id=116 -- Word lists this exact name+designation at 7 different stations (Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Six A Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Ports and Special Economic Zone Limited -PSS3, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Forty One Limited - PSS3, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=456 name='Gusai Dipakgar Govindgar' designation='2nd In-charge' current_suborg_id=120 -- Word lists this exact name+designation at 7 different stations (Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Six A Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Ports and Special Economic Zone Limited -PSS3, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Forty One Limited - PSS3, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=459 name='Gusai Dipakgar Govindgar' designation='2nd In-charge' current_suborg_id=121 -- Word lists this exact name+designation at 7 different stations (Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Six A Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Ports and Special Economic Zone Limited -PSS3, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Forty One Limited - PSS3, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=471 name='Gusai Dipakgar Govindgar' designation='2nd In-charge' current_suborg_id=None -- Word lists this exact name+designation at 7 different stations (Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Six A Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Ports and Special Economic Zone Limited -PSS3, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Forty One Limited - PSS3, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=474 name='Gusai Dipakgar Govindgar' designation='2nd In-charge' current_suborg_id=None -- Word lists this exact name+designation at 7 different stations (Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Six A Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Ports and Special Economic Zone Limited -PSS3, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Forty One Limited - PSS3, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=486 name='Gusai Dipakgar Govindgar' designation='2nd In-charge' current_suborg_id=None -- Word lists this exact name+designation at 7 different stations (Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Six A Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Ports and Special Economic Zone Limited -PSS3, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Forty One Limited - PSS3, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=507 name='Gusai Dipakgar Govindgar' designation='2nd In-charge' current_suborg_id=None -- Word lists this exact name+designation at 7 different stations (Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Six A Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Ports and Special Economic Zone Limited -PSS3, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Forty One Limited - PSS3, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=191 name='H. M PATEL' designation='Executive Engineer-(Trans.), DNH' current_suborg_id=None -- Word shows this role at station 'Dadra and Nagar Haveli', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=285 name='Hasmukh Prajapati' designation='Site Engineer' current_suborg_id=68 -- Word lists this exact name+designation at 3 different stations (Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=358 name='Hasmukh Prajapati' designation='Site Engineer' current_suborg_id=84 -- Word lists this exact name+designation at 3 different stations (Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=363 name='Hasmukh Prajapati' designation='Site Engineer' current_suborg_id=85 -- Word lists this exact name+designation at 3 different stations (Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=664 name='Hemant Pandey' designation='E.E. (EMC)' current_suborg_id=None -- Word shows this role at station 'SSP', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=309 name='Hiren pathak' designation='Manager- Asset management' current_suborg_id=73 -- Word lists this exact name+designation at 3 different stations (Ostro Kutch Wind Private Limited, ReNew Power Limited, ReNew Wind Energy (AP2) Private Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=314 name='Hiren pathak' designation='Manager- Asset management' current_suborg_id=74 -- Word lists this exact name+designation at 3 different stations (Ostro Kutch Wind Private Limited, ReNew Power Limited, ReNew Wind Energy (AP2) Private Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=324 name='Hiren pathak' designation='Manager- Asset management' current_suborg_id=76 -- Word lists this exact name+designation at 3 different stations (Ostro Kutch Wind Private Limited, ReNew Power Limited, ReNew Wind Energy (AP2) Private Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=155 name='Jack Fernandes' designation='AE (SLDC)' current_suborg_id=None -- Word shows this role at station 'Goa Electricity Department', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=116 name='Jaswant Singh Pasricha' designation='Senior DGM (PM)' current_suborg_id=None -- Word shows this role at station 'Madhya Pradesh State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=187 name='Jay Solanki' designation='Junior Engineer (TR & SLDC)' current_suborg_id=None -- Word shows this role at station 'Daman and Diu', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=318 name='Jitendra Prajapati' designation='Asset Manager' current_suborg_id=None -- Word lists this exact name+designation at 2 different stations (Alfanar Energy Private Limited, Alfanar Netra Wind Private Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=404 name='Jitendra Prajapati' designation='Asset Manager' current_suborg_id=95 -- Word lists this exact name+designation at 2 different stations (Alfanar Energy Private Limited, Alfanar Netra Wind Private Limited); can't determine which one this row means"
employees,Manual review required,"employee_id=443 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=116 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=446 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=117 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=449 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=118 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=452 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=119 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=455 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=120 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=458 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=121 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=461 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=122 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=464 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=123 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=467 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=124 -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=470 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=None -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=473 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=None -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=476 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=None -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=479 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=None -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=482 name='Jitendra Ranawat' designation='Head of the Station' current_suborg_id=None -- Word lists this exact name+designation at 22 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
