org_id,organization_name,current_category,current_subcategory_region,word_h1_section,implied_category,note
6387,Solapur Solar PV Project,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6317,"Southern Regional Load Despatch Centre, Bengaluru",RLDC,NLDC And RLDCs,NLDC and RLDCs,RLDC,match
6386,Srijan Energy Systems Private Limited,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6500,SSNL,Generation Company,Black Start Facilitated Stations,(not found in Word body tables),,no Word section match
6508,SSP,Hydel,Other Generating Stations In Western Region,Other Generating Stations in Western Region,,"ambiguous section: catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
6344,"State Load Despatch Centre, MSETCL",SLDC,Maharashtra State Load Despatch Centre,Maharashtra State Load Despatch Centre,SLDC,match
6476,Sterlite Power Transmission Limited,Transmission Utility,Other Transmission Licensees In Western Region,Other Transmission Licensees in Western Region,Transmission Utility,match
6332,Sugen,Thermal,Black Start Facilitated Stations,Black Start Facilitated Stations,,"ambiguous section: cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
6406,Talettutayi Solar Projects Nine Pvt Ltd,Generation Company,ISTS Connected RE Generators In Western Region,(not found in Word body tables),,no Word section match
6359,Tarapur Atomic Power Station Stg-1 & 2,Nuclear,Nuclear Power Stations In Western Region,Nuclear Power Stations in Western Region,Nuclear,match
6360,Tarapur Atomic Power Station Stg-3 & 4,Nuclear,Nuclear Power Stations In Western Region,Nuclear Power Stations in Western Region,Nuclear,match
6497,Tata Power Mumbai,DISCOM,Other Users In Western Region,Other Users in Western Region,,"ambiguous section: catch-all 'Other' bucket, no clear single-category match"
6376,Tata Power Renewable Energy Ltd.,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6398,TEQ Green Power XI Private Limited,Generation Company,ISTS Connected RE Generators In Western Region,(not found in Word body tables),,no Word section match
6445,The Tata Power Co Limited Mundra (MTPS),Thermal,Other Generating Stations In Western Region,Other Generating Stations in Western Region,,"ambiguous section: catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
6325,Tons,Hydel,Black Start Facilitated Stations,Black Start Facilitated Stations,,"ambiguous section: cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
6405,Torrent Power Limited,Generation Company,ISTS Connected RE Generators In Western Region,(not found in Word body tables),,no Word section match
6402,TP Saurya Limited Unit-1,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6403,TP Saurya Limited Unit-2,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6465,TRN Energy Private Limited,Thermal,Other Generating Stations In Western Region,Other Generating Stations in Western Region,,"ambiguous section: catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
6338,Trombay,Thermal,Black Start Facilitated Stations,Black Start Facilitated Stations,,"ambiguous section: cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
6328,UKAI,Generation Company,Black Start Facilitated Stations,Black Start Facilitated Stations,,"ambiguous section: cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
6341,Uran,Thermal,Black Start Facilitated Stations,Black Start Facilitated Stations,,"ambiguous section: cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
6481,Warora Kurnool Transmission Limited,Transmission Utility,Other Transmission Licensees In Western Region,(not found in Word body tables),,no Word section match
619,Western Region Load Despatch Centre,RLDC,,Western Region Load Despatch Centre,RLDC,match
6291,Western Regional Power Committee,Regional Power Committee,Western Regional Power Committee,Western Regional Power Committee,Regional Power Committee,match
6480,Western Transco Power Limited,Transmission Utility,Other Transmission Licensees In Western Region,(not found in Word body tables),,no Word section match
6491,Western Transmission Gujarat Limited,Transmission Utility,Other Transmission Licensees In Western Region,(not found in Word body tables),,no Word section match
6396,Wind Five Renergy Limited,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6393,Wind One Renergy Limited,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6395,Wind Three Renergy Limited,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6394,Wind Two Renergy Private Limited,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6485,WRSS XXI(A) Transco Limited,Transmission Utility,Other Transmission Licensees In Western Region,(not found in Word body tables),,no Word section match
